data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en,nuovi_deceduti,nuovi_guariti
2020-02-24T18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2020-02-25T18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2020-02-26T18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2020-02-27T18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2020-02-28T18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2020-02-29T17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2020-03-01T17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,6,,,0,0
2020-03-02T18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,13,,,0,0
2020-03-03T18:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,0,3,3,3,0,0,3,13,,,0,0
2020-03-04T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,0,3,0,0,0,0,3,19,,,0,0
2020-03-05T17:00:00,ITA,14,Molise,41.55774754,14.65916051,4,0,4,3,7,4,4,0,0,7,24,,,0,0
2020-03-06T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,2,5,7,12,5,5,0,0,12,104,,,0,0
2020-03-07T18:00:00,ITA,14,Molise,41.55774754,14.65916051,3,2,5,9,14,2,2,0,0,14,112,,,0,0
2020-03-08T18:00:00,ITA,14,Molise,41.55774754,14.65916051,4,2,6,8,14,0,0,0,0,14,116,,,0,0
2020-03-09T18:00:00,ITA,14,Molise,41.55774754,14.65916051,4,2,6,8,14,0,0,0,0,14,212,,,0,0
2020-03-10T18:00:00,ITA,14,Molise,41.55774754,14.65916051,3,3,6,9,15,1,1,0,0,15,225,,,0,0
2020-03-11T17:00:00,ITA,14,Molise,41.55774754,14.65916051,4,3,7,9,16,1,1,0,0,16,233,,,0,0
2020-03-12T17:00:00,ITA,14,Molise,41.55774754,14.65916051,4,3,7,9,16,0,0,0,0,16,238,,,0,0
2020-03-13T17:00:00,ITA,14,Molise,41.55774754,14.65916051,5,3,8,9,17,1,1,0,0,17,243,,,0,0
2020-03-14T17:00:00,ITA,14,Molise,41.55774754,14.65916051,5,3,8,9,17,0,0,0,0,17,247,,,0,0
2020-03-15T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,4,7,10,17,0,0,0,0,17,248,,,0,0
2020-03-16T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,5,8,7,15,-2,4,5,1,21,253,,,1,5
